section_title,section_type,classification_label,code,descriptor,period,duration,variable1_label,variable1_code,variable1_descriptor,variable2_label,variable2_code,variable2_descriptor,value_type_description,value,value_label,decimals,confidentiality_indicator,confidentiality_label,final_indicator,final_label,last_updated_at_source
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2018,Census,Partnership status in current relationship,12,Civil union partner,,,,Percent,,percent,1,S,S,,,2024-10-24 13:04:55+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2023,Census,Partnership status in current relationship,12,Civil union partner,,,,Percent,0.000000,percent,1,,,,,2024-10-24 13:06:18+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2013,Census,Partnership status in current relationship,13,De facto partner,,,,Percent,5.400000,percent,1,,,,,2024-10-24 13:04:56+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2018,Census,Partnership status in current relationship,13,De facto partner,,,,Percent,7.400000,percent,1,,,,,2024-10-24 13:04:56+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2023,Census,Partnership status in current relationship,13,De facto partner,,,,Percent,8.200000,percent,1,,,,,2024-10-24 13:06:18+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2013,Census,Partnership status in current relationship,2,Non-partnered,,,,Percent,41.600000,percent,1,,,,,2024-10-24 13:04:55+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2018,Census,Partnership status in current relationship,2,Non-partnered,,,,Percent,41.300000,percent,1,,,,,2024-10-24 13:04:55+00
Partnership status in current relationship,,Ethnic group,37144,Tuvaluan,2023,Census,Partnership status in current relationship,2,Non-partnered,,,,Percent,53.100000,percent,1,,,,,2024-10-24 13:06:19+00
Births and deaths,,Ethnic group,37144,Tuvaluan,2001,Year ended March,Births and deaths,BTH,Live births,,,,Count,,,0,..,not available,,,2026-05-26 11:30:50+00
Births and deaths,,Ethnic group,37144,Tuvaluan,2002,Year ended March,Births and deaths,BTH,Live births,,,,Count,,,0,..,not available,,,2026-05-26 11:30:50+00
